Node Binding: Process 6 [(p,q)=(2,1)] GPU: 6, CPU Cores: 10 - {41-59}
Node Binding: Process 5 [(p,q)=(1,1)] GPU: 5, CPU Cores: 10 - {21-39}
Node Binding: Process 1 [(p,q)=(1,0)] GPU: 1, CPU Cores: 10 - {20-38}
Node Binding: Process 2 [(p,q)=(2,0)] GPU: 2, CPU Cores: 10 - {40-58}
Node Binding: Process 0 [(p,q)=(0,0)] GPU: 0, CPU Cores: 10 - {0-18}
Node Binding: Process 3 [(p,q)=(3,0)] GPU: 3, CPU Cores: 10 - {60-78}
Node Binding: Process 4 [(p,q)=(0,1)] GPU: 4, CPU Cores: 10 - {1-19}
Node Binding: Process 7 [(p,q)=(3,1)] GPU: 7, CPU Cores: 10 - {61-79}
Local matrix size       = 184.844 GiBs
Total device memory use = 189.112 GiBs
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
   %   | Column    | Step Time (s) ||         DGEMM GFLOPS         || pdfact (s) | pmxswp (s) | Lbcast (s) | laswp (s) | GPU Sync (s) | Step GFLOPS | Overall GFLOPS
       |           |               |  Small   |  First   | Second   |            |            |            |           |              |             |               
  8.8% | 000039040 |    0.4669112  |          | 5.922e+04| 5.902e+04|            |            |  2.739e-02 | 4.989e-02 |   3.891e-01  |  4.535e+05  |    4.369e+05   
  8.9% | 000039680 |    0.5026946  | 5.733e+04| 5.916e+04| 5.897e+04|  4.958e-02 |  1.346e-02 |  1.530e-02 | 2.876e-02 |   4.053e-01  |  4.199e+05  |    4.366e+05   
  9.1% | 000040320 |    0.4684403  |          | 5.915e+04| 5.896e+04|            |            |  3.015e-02 | 5.829e-02 |   3.795e-01  |  4.492e+05  |    4.368e+05   
  9.2% | 000040960 |    0.5023591  | 5.745e+04| 5.913e+04| 5.890e+04|  4.928e-02 |  6.368e-03 |  1.536e-02 | 2.750e-02 |   4.064e-01  |  4.175e+05  |    4.365e+05   
  9.3% | 000041600 |    0.4610443  |          | 5.919e+04| 5.898e+04|            |            |  2.334e-02 | 4.731e-02 |   3.899e-01  |  4.535e+05  |    4.368e+05   
  9.5% | 000042240 |    0.4969293  | 5.723e+04| 5.920e+04| 5.899e+04|  4.959e-02 |  1.309e-02 |  1.520e-02 | 2.789e-02 |   4.005e-01  |  4.194e+05  |    4.365e+05   
  9.6% | 000042880 |    0.4630672  |          | 5.922e+04| 5.901e+04|            |            |  2.595e-02 | 5.771e-02 |   3.789e-01  |  4.487e+05  |    4.367e+05   
  9.8% | 000043520 |    0.4963125  | 5.706e+04| 5.913e+04| 5.896e+04|  4.931e-02 |  6.367e-03 |  1.525e-02 | 2.724e-02 |   4.007e-01  |  4.173e+05  |    4.364e+05   
  9.9% | 000044160 |    0.4544602  |          | 5.917e+04| 5.902e+04|            |            |  1.957e-02 | 4.742e-02 |   3.869e-01  |  4.543e+05  |    4.366e+05   
 10.1% | 000044800 |    0.4916374  | 5.697e+04| 5.917e+04| 5.898e+04|  4.962e-02 |  1.320e-02 |  1.515e-02 | 2.774e-02 |   3.953e-01  |  4.186e+05  |    4.364e+05   
 10.2% | 000045440 |    0.4557347  |          | 5.922e+04| 5.897e+04|            |            |  2.145e-02 | 5.835e-02 |   3.755e-01  |  4.501e+05  |    4.366e+05   
 10.3% | 000046080 |    0.4905741  | 5.670e+04| 5.920e+04| 5.902e+04|  4.936e-02 |  6.273e-03 |  1.518e-02 | 2.629e-02 |   3.959e-01  |  4.168e+05  |    4.363e+05   
 10.5% | 000046720 |    0.4489774  |          | 5.916e+04| 5.894e+04|            |            |  1.558e-02 | 5.055e-02 |   3.823e-01  |  4.540e+05  |    4.365e+05   
 10.6% | 000047360 |    0.4860929  | 5.665e+04| 5.915e+04| 5.898e+04|  4.953e-02 |  1.317e-02 |  1.499e-02 | 2.790e-02 |   3.899e-01  |  4.180e+05  |    4.363e+05   
 10.8% | 000048000 |    0.4505433  |          | 5.922e+04| 5.891e+04|            |            |  1.694e-02 | 6.302e-02 |   3.701e-01  |  4.495e+05  |    4.364e+05   
 10.9% | 000048640 |    0.4857762  | 5.638e+04| 5.907e+04| 5.893e+04|  4.938e-02 |  6.478e-03 |  1.502e-02 | 2.661e-02 |   3.910e-01  |  4.155e+05  |    4.362e+05   
 11.1% | 000049280 |    0.4429346  |          | 5.917e+04| 5.897e+04|            |            |  1.526e-02 | 4.963e-02 |   3.775e-01  |  4.543e+05  |    4.364e+05   
 11.2% | 000049920 |    0.4805438  | 5.656e+04| 5.916e+04| 5.899e+04|  4.968e-02 |  1.277e-02 |  1.491e-02 | 2.709e-02 |   3.851e-01  |  4.174e+05  |    4.361e+05   
 11.4% | 000050560 |    0.4447531  |          | 5.918e+04| 5.896e+04|            |            |  1.475e-02 | 6.384e-02 |   3.657e-01  |  4.495e+05  |    4.363e+05   
 11.5% | 000051200 |    0.4817048  | 5.624e+04| 5.914e+04| 5.892e+04|  5.085e-02 |  5.794e-03 |  1.497e-02 | 2.568e-02 |   3.864e-01  |  4.137e+05  |    4.360e+05   
 11.6% | 000051840 |    0.4367064  |          | 5.907e+04| 5.895e+04|            |            |  1.524e-02 | 4.653e-02 |   3.744e-01  |  4.548e+05  |    4.362e+05   
 11.8% | 000052480 |    0.4763934  | 5.627e+04| 5.913e+04| 5.895e+04|  5.076e-02 |  1.409e-02 |  1.487e-02 | 2.723e-02 |   3.797e-01  |  4.156e+05  |    4.360e+05   
 11.9% | 000053120 |    0.4386869  |          | 5.916e+04| 5.895e+04|            |            |  1.508e-02 | 6.233e-02 |   3.608e-01  |  4.498e+05  |    4.361e+05   
 12.1% | 000053760 |    0.4747397  | 5.595e+04| 5.916e+04| 5.902e+04|  5.005e-02 |  6.079e-03 |  1.483e-02 | 2.546e-02 |   3.806e-01  |  4.143e+05  |    4.359e+05   
 12.2% | 000054400 |    0.4311158  |          | 5.921e+04| 5.905e+04|            |            |  1.522e-02 | 4.821e-02 |   3.671e-01  |  4.547e+05  |    4.361e+05   
 12.4% | 000055040 |    0.4699665  | 5.590e+04| 5.914e+04| 5.893e+04|  4.984e-02 |  1.407e-02 |  1.477e-02 | 2.790e-02 |   3.737e-01  |  4.158e+05  |    4.359e+05   
 12.5% | 000055680 |    0.4331380  |          | 5.907e+04| 5.869e+04|            |            |  1.520e-02 | 6.054e-02 |   3.569e-01  |  4.497e+05  |    4.360e+05   
 12.6% | 000056320 |    0.4685813  | 5.566e+04| 5.914e+04| 5.900e+04|  4.895e-02 |  6.138e-03 |  1.468e-02 | 2.626e-02 |   3.749e-01  |  4.143e+05  |    4.358e+05   
 12.8% | 000056960 |    0.4254953  |          | 5.851e+04| 5.895e+04|            |            |  1.506e-02 | 4.334e-02 |   3.665e-01  |  4.547e+05  |    4.359e+05   
 12.9% | 000057600 |    0.4645930  | 5.560e+04| 5.864e+04| 5.897e+04|  4.872e-02 |  1.307e-02 |  1.465e-02 | 2.507e-02 |   3.724e-01  |  4.151e+05  |    4.357e+05   
 13.1% | 000058240 |    0.4267644  |          | 5.856e+04| 5.896e+04|            |            |  1.511e-02 | 5.532e-02 |   3.559e-01  |  4.504e+05  |    4.359e+05   
 13.2% | 000058880 |    0.4646775  | 5.549e+04| 5.836e+04| 5.894e+04|  4.864e-02 |  6.095e-03 |  1.468e-02 | 2.486e-02 |   3.727e-01  |  4.123e+05  |    4.356e+05   
 13.4% | 000059520 |    0.4200375  |          | 5.841e+04| 5.899e+04|            |            |  1.500e-02 | 4.307e-02 |   3.615e-01  |  4.546e+05  |    4.358e+05   
 13.5% | 000060160 |    0.4595964  | 5.514e+04| 5.843e+04| 5.900e+04|  4.862e-02 |  1.290e-02 |  1.456e-02 | 2.498e-02 |   3.677e-01  |  4.141e+05  |    4.356e+05   
 13.6% | 000060800 |    0.4209097  |          | 5.836e+04| 5.898e+04|            |            |  1.497e-02 | 5.368e-02 |   3.518e-01  |  4.507e+05  |    4.357e+05   
