Node Binding: Process 3 [(p,q)=(3,0)] GPU: 3, CPU Cores: 10 - {60-78}
Node Binding: Process 6 [(p,q)=(2,1)] GPU: 6, CPU Cores: 10 - {41-59}
Node Binding: Process 7 [(p,q)=(3,1)] GPU: 7, CPU Cores: 10 - {61-79}
Node Binding: Process 1 [(p,q)=(1,0)] GPU: 1, CPU Cores: 10 - {20-38}
Node Binding: Process 0 [(p,q)=(0,0)] GPU: 0, CPU Cores: 10 - {0-18}
Node Binding: Process 2 [(p,q)=(2,0)] GPU: 2, CPU Cores: 10 - {40-58}
Node Binding: Process 4 [(p,q)=(0,1)] GPU: 4, CPU Cores: 10 - {1-19}
Node Binding: Process 5 [(p,q)=(1,1)] GPU: 5, CPU Cores: 10 - {21-39}
Local matrix size       = 11.6956 GiBs
Total device memory use = 12.7791 GiBs
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
   %   | Column    | Step Time (s) ||         DGEMM GFLOPS         || pdfact (s) | pmxswp (s) | Lbcast (s) | laswp (s) | GPU Sync (s) | Step GFLOPS | Overall GFLOPS
       |           |               |  Small   |  First   | Second   |            |            |            |           |              |             |               
 44.8% | 000049920 |    0.0338614  | 4.954e+04| 5.185e+04| 6.435e+04|  2.033e-02 |  6.860e-03 |  2.299e-03 | 4.217e-03 |   4.588e-03  |  1.442e+05  |    2.215e+05   
 45.4% | 000050560 |    0.0298876  |          | 6.158e+04| 5.274e+04|            |            |  2.176e-02 | 4.270e-03 |   3.416e-03  |  1.600e+05  |    2.209e+05   
 46.0% | 000051200 |    0.0344109  | 6.075e+04| 5.145e+04| 6.477e+04|  2.093e-02 |  6.310e-03 |  2.253e-03 | 4.175e-03 |   4.669e-03  |  1.361e+05  |    2.201e+05   
 46.6% | 000051840 |    0.0284791  |          | 6.933e+04| 5.579e+04|            |            |  2.089e-02 | 4.300e-03 |   2.783e-03  |  1.609e+05  |    2.196e+05   
 47.1% | 000052480 |    0.0328420  | 5.133e+04| 5.689e+04| 5.784e+04|  2.027e-02 |  6.925e-03 |  2.211e-03 | 4.658e-03 |   3.374e-03  |  1.366e+05  |    2.189e+05   
 47.7% | 000053120 |    0.0279613  |          | 6.913e+04| 5.697e+04|            |            |  2.110e-02 | 4.034e-03 |   2.402e-03  |  1.570e+05  |    2.184e+05   
 48.3% | 000053760 |    0.0335077  | 4.491e+04| 5.202e+04| 6.519e+04|  2.081e-02 |  6.357e-03 |  2.138e-03 | 3.899e-03 |   4.184e-03  |  1.282e+05  |    2.176e+05   
 48.9% | 000054400 |    0.0274987  |          | 6.689e+04| 5.237e+04|            |            |  2.028e-02 | 4.145e-03 |   2.603e-03  |  1.527e+05  |    2.171e+05   
 49.4% | 000055040 |    0.0308398  | 5.362e+04| 5.706e+04| 7.495e+04|  1.991e-02 |  6.686e-03 |  2.078e-03 | 4.567e-03 |   1.973e-03  |  1.332e+05  |    2.164e+05   
 50.0% | 000055680 |    0.0271083  |          | 6.844e+04| 5.913e+04|            |            |  2.129e-02 | 3.566e-03 |   1.812e-03  |  1.481e+05  |    2.159e+05   
