Timestamp,GPU_0,GPU_1,GPU_2,GPU_3,GPU_4,GPU_5,GPU_6,GPU_7
1743554877,4669422,3606531,3576667,3574040,3636889,3593879,3645592,3616192
1743554878,4691585,3627532,3598027,3595303,3658279,3615328,3667399,3637651
1743554879,4712727,3648045,3618627,3615708,3679639,3636648,3688911,3658956
1743554880,4735116,3669320,3639662,3636893,3701226,3658210,3710825,3680384
1743554881,4757011,3690442,3660379,3657537,3723143,3680101,3732891,3702164
1743554882,4778982,3711651,3681618,3678696,3744060,3701253,3754427,3723475
1743554883,4800468,3732335,3702478,3699196,3765320,3722258,3775991,3745013
1743554885,4822381,3753695,3723699,3719904,3786949,3743942,3797980,3766736
1743554886,4844115,3774493,3744718,3740186,3807911,3764917,3819357,3787719
1743554887,4865791,3795415,3765543,3760851,3829374,3786403,3841497,3809570
1743554888,4887328,3816196,3786171,3781211,3850222,3807233,3862929,3830506
1743554889,4908871,3836949,3807073,3801795,3871524,3828479,3884534,3851837
1743554890,4930359,3857843,3828048,3822662,3892388,3849312,3905809,3872966
1743554891,4951387,3878057,3848446,3842730,3913359,3870226,3927229,3894039
1743554892,4972874,3898501,3869116,3863194,3934214,3890907,3948197,3914794
1743554894,4994128,3918975,3889942,3883614,3954867,3911536,3969155,3935508
1743554895,5015433,3939348,3910449,3903709,3975585,3932106,3990220,3956151
1743554896,5036116,3959239,3930702,3923383,3996189,3952619,4011214,3976699
1743554897,5057088,3979409,3951209,3943493,4016245,3972615,4031422,3996864
1743554898,5077510,3999032,3971120,3963059,4036771,3993073,4052142,4017319
1743554899,5098511,4019422,3991732,3983374,4057175,4013580,4072715,4037779
1743554900,5118749,4039163,4011719,4003068,4077183,4033575,4093017,4057898
1743554901,5138714,4058569,4031548,4022651,4097149,4053458,4113211,4077791
1743554902,5158822,4077832,4051255,4042176,4117197,4073306,4133458,4097776
1743554904,5178571,4097145,4070736,4061365,4137023,4093015,4153534,4117565
1743554905,5198886,4116873,4090093,4080997,4156648,4112557,4173383,4137164
1743554906,5218532,4136038,4109000,4100017,4175890,4131679,4192667,4156382
1743554907,5238381,4155296,4128520,4119339,4195396,4150943,4211784,4175873
1743554908,5258169,4174670,4148109,4138704,4215085,4170257,4231356,4195518
1743554909,5277447,4193567,4167079,4157300,4234162,4188979,4250399,4214535
1743554910,5296688,4212458,4186099,4175920,4252931,4207596,4269383,4233419
1743554911,5315377,4230878,4204572,4194117,4271595,4226373,4288404,4252387
